Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000197971,MBP,Gene Expression,0.7426958250567705,0.0,0.0,289501,28.500204679762263,10901
ENSG00000170345,FOS,Gene Expression,0.6853917511646819,0.0,0.0,144942,13.615140060141155,11473
ENSG00000115461,IGFBP5,Gene Expression,0.6783835290174078,0.0,0.0,196706,16.73093061293109,11533
ENSG00000145423,SFRP2,Gene Expression,0.665263829161628,0.0,0.0,958330,73.09059773242531,11665
ENSG00000120129,DUSP1,Gene Expression,0.662407771781052,0.0,0.0,223118,18.189593846446336,11621
ENSG00000212907,MT-ND4L,Gene Expression,0.654302807589654,0.0,0.0,775940,67.69271824017092,11708
ENSG00000155850,SLC26A2,Gene Expression,0.6512432489055022,0.0,0.0,896309,67.84505812334183,11665
ENSG00000106809,OGN,Gene Expression,0.6420642824733631,0.0,0.0,654617,51.80652724046878,11648
ENSG00000107317,PTGDS,Gene Expression,0.6242911793195534,0.0,0.0,1820619,142.74499561110392,11709
ENSG00000103888,CEMIP,Gene Expression,0.6070371603243225,0.0,0.0,104101,9.285688133101337,10921
ENSG00000134107,BHLHE40,Gene Expression,0.603142598829933,0.0,0.0,163269,12.469946135805516,11365
ENSG00000131095,GFAP,Gene Expression,0.6020581857185855,0.0,0.0,257060,23.948948388044172,11090
ENSG00000053438,NNAT,Gene Expression,0.6002397247275374,0.0,0.0,5101,0.7767305710955683,1894
ENSG00000123560,PLP1,Gene Expression,0.5981012010106159,0.0,0.0,103282,9.61732452363778,9360
ENSG00000168542,COL3A1,Gene Expression,0.5948575867321224,0.0,0.0,603710,54.78084183403856,11703
ENSG00000142494,SLC47A1,Gene Expression,0.5903553972532188,0.0,0.0,570182,42.93054622418941,11586
ENSG00000124107,SLPI,Gene Expression,0.5885662604819855,0.0,0.0,324867,23.973052022474505,11387
ENSG00000198899,MT-ATP6,Gene Expression,0.585677024178122,0.0,0.0,895853,78.69154403729917,11712
ENSG00000119938,PPP1R3C,Gene Expression,0.5828862112917861,0.0,0.0,146453,10.890793996322728,11140
ENSG00000108821,COL1A1,Gene Expression,0.5828503375013622,0.0,0.0,743844,65.96853510277673,11701
ENSG00000198712,MT-CO2,Gene Expression,0.5826696397027823,0.0,0.0,626363,54.731847796013774,11711
